rank,id,name,category,klass,evidenceType,evi,hum,imp,safe,overall,tier,mechanism,evidence,effect,human,safety,dose,status,accessibility,caveats,hallmarks,keyStudies,sources
1,smoking-cessation,Smoking Cessation,lifestyle,Removing a major mortality risk,human-cohort,82,92,85,95,88,S,"Eliminates exposure to oxidants/carcinogens that accelerate genomic instability, vascular damage and senescence","The benchmark high-effect-size intervention: quitting before ~40 restores life expectancy nearly to never-smokers (~10 years gained quitting at 25-34), with mortality risk halving within ~10-15 years. Evidence is overwhelming, consistent and near-causal.","Quitting by mid-40s regains ~6-9 yrs life expectancy (quit at 35-44 ~9 yr, 45-54 ~6 yr; life-table estimates, no CI); continuing smokers' all-cause mortality HR ~2.8-3.0 vs never-smokers (99% CI 2.4-3.3) — Jha NEJM 2013, n=202,248",Overwhelming consistent cohort evidence with clear age gradient,Only upside; transient withdrawal; cessation aids generally safe,Complete permanent cessation (+ support/NRT/varenicline),Highest-priority guideline,lifestyle,"Observational by necessity, but causal inference robust; benefit depends on age at quitting",Genomic instability; Chronic inflammation; Cellular senescence; Telomere attrition,"Jha et al., NEJM 2013 — Quitting at 25-34/35-44/45-54 gains ~10/9/6 years [https://doi.org/10.1056/NEJMsa1211128]",https://doi.org/10.1056/NEJMsa1211128
2,aerobic-exercise,Aerobic / Endurance Exercise,exercise,Physical activity,human-cohort,80,92,80,92,86,S,"Improves mitochondrial biogenesis, endothelial function, insulin sensitivity and cardiac output","Among the strongest and most consistent evidence in all of longevity: pooled cohorts (>660,000) show meeting the ~150 min/wk guideline yields ~31% lower all-cause mortality, with most benefit from the first increments, supported by RCTs on fitness/CV surrogates.","All-cause mortality HR 0.69 (95% CI 0.67-0.70) at ~150 min/wk; plateau HR 0.61 (95% CI 0.59-0.62) at 3-5x minimum, no harm at >=10x — Arem JAMA Intern Med 2015, n=661,137",Large consistent cohorts + RCTs on surrogates,Very safe; rare acute cardiac events in high-risk unscreened individuals,150-300 min/wk moderate or 75-150 vigorous,Established guideline,lifestyle,"Mortality evidence observational, but triangulated with RCT surrogate data",Mitochondrial dysfunction; Chronic inflammation; Deregulated nutrient sensing; Cellular senescence,"Arem et al., JAMA IM 2015 (n=661,137) — Guideline activity HR 0.69; up to ~39% reduction at higher doses [https://doi.org/10.1001/jamainternmed.2015.0533]",https://doi.org/10.1001/jamainternmed.2015.0533
3,cardiorespiratory-fitness-vo2max,Cardiorespiratory Fitness / VO2max,exercise,Trainable aerobic capacity,human-cohort,78,90,82,90,85,S,VO2max integrates cardiac output and mitochondrial oxidative capacity — a measure of whole-body metabolic resilience,"One of the strongest single predictors of mortality: in 122,007 treadmill-tested adults, higher fitness tracked with markedly lower mortality with NO upper ceiling — elite vs low fitness ~5x lower mortality, a larger adjusted effect than smoking or diabetes. Partly trainable via aerobic base + intervals.","All-cause mortality HR 0.20 (95% CI 0.16-0.24), ~80% lower, elite vs low fitness; low fitness risk exceeds smoking/diabetes — Mandsager JAMA Netw Open 2018, n=122,007",Very large cohort with objectively measured fitness,Achieving via exercise is very safe,Aerobic base (Zone 2) + higher-intensity intervals,Prognostic marker / training target,lifestyle,"Observational; CRF is partly genetic, so raising it may not yield the full association-sized benefit",Mitochondrial dysfunction; Altered intercellular communication; Chronic inflammation,"Mandsager et al., JAMA Netw Open 2018 (n=122,007) — Elite vs low fitness ~5x lower mortality; no upper limit [https://doi.org/10.1001/jamanetworkopen.2018.3605]",https://doi.org/10.1001/jamanetworkopen.2018.3605
4,mediterranean-diet,Mediterranean Diet,diet,Whole-dietary pattern,human-rct-hard,86,88,60,95,83,S,"High MUFA, polyphenols, fiber and omega-3s reduce inflammation/oxidative stress and improve lipids and the microbiome","PREDIMED, a primary-prevention RCT in ~7,447 high-risk adults, found a MedDiet (+olive oil or nuts) cut major cardiovascular events ~30% vs control; large cohorts consistently link adherence to lower mortality. Among the strongest hard-outcome dietary evidence in longevity.","Major CV events HR 0.69 (95% CI 0.53-0.91) with EVOO and HR 0.72 (95% CI 0.54-0.95) with nuts vs control — PREDIMED (Estruch NEJM 2018, republished), n=7,447",Primary-prevention RCT with hard CV endpoints + extensive cohorts,Very safe; nutrient-dense,High EVOO + nuts + vegetables/legumes/fish; low red/processed meat,Established guideline,lifestyle,PREDIMED was retracted/republished over randomization issues (results unchanged); all-cause mortality reduction not individually significant,Chronic inflammation; Altered intercellular communication; Dysbiosis; Mitochondrial dysfunction,"Estruch et al., NEJM 2018 (PREDIMED) — ~30% lower major CV events (HR 0.69-0.72) [https://www.nejm.org/doi/full/10.1056/NEJMoa1800389]",https://www.nejm.org/doi/full/10.1056/NEJMoa1800389
5,resistance-training,Resistance / Strength Training,exercise,Physical activity,human-cohort,75,88,72,90,81,S,"Mechanical loading drives muscle protein synthesis, countering sarcopenia and improving glucose/bone/myokines","Muscle-strengthening ~2x/wk is associated with ~10-21% lower all-cause mortality (J-shaped, peak ~30-60 min/wk), and combining with aerobic exercise gives ~40% lower mortality. RCTs robustly show strength/function gains and sarcopenia treatment.",All-cause mortality RR 0.85 (95% CI 0.79-0.93) for muscle-strengthening alone; RR 0.60 (95% CI 0.54-0.67) combined with aerobic — Momma BJSM 2022,Cohort mortality data + strong RCT evidence for strength/function,Very safe with proper form; valsalva BP spikes in uncontrolled hypertension,">=2 sessions/wk, all major muscle groups",Established guideline,lifestyle,Mortality evidence observational; muscle-mass gains modest in oldest-old; best added to aerobic,Stem cell exhaustion; Loss of proteostasis; Deregulated nutrient sensing; Mitochondrial dysfunction,"Momma et al., BJSM 2022 — ~30-60 min/wk: 10-20% lower mortality [https://pubmed.ncbi.nlm.nih.gov/35228201/] | Saeidifard 2019 — RT+aerobic HR 0.60 all-cause mortality [https://doi.org/10.1177/2047487319850718]",https://pubmed.ncbi.nlm.nih.gov/35228201/ | https://doi.org/10.1177/2047487319850718
6,sleep-optimization,Sleep Optimization,lifestyle,Behavioral/circadian,human-cohort,74,88,60,95,79,S,"Adequate sleep enables glymphatic clearance, metabolic/immune regulation and restrains inflammation","Large meta-analyses show a U-shaped sleep-mortality curve with a nadir ~7 hours; healthy-sleep scores predict multi-year life-expectancy gains. Consistent and mechanistically grounded, but observational (long sleep is heavily confounded by illness).","U-shaped all-cause mortality: RR 1.06/h (95% CI 1.04-1.07) for short sleep and RR 1.13/h (95% CI 1.11-1.15) for long sleep, nadir ~7h — Yin et al. JAHA 2017 dose-response meta-analysis",Large consistent cohorts; RCTs only on surrogate markers,No downside to healthy sleep (sedatives carry own risks),"7-9 h/night, regular schedule; treat apnea/insomnia",Established guideline,lifestyle,Long-sleep risk largely reverse causation; causal benefit of extending short sleep unproven by RCT,Chronic inflammation; Altered intercellular communication; Loss of proteostasis,"Yin et al., JAHA 2017 — U-shaped; short and long sleep raise mortality vs 7h [https://www.ahajournals.org/doi/10.1161/JAHA.117.005947]",https://www.ahajournals.org/doi/10.1161/JAHA.117.005947
7,empagliflozin-dapagliflozin,Empagliflozin / Dapagliflozin,pharma,SGLT2 inhibitors,human-rct-hard,86,82,55,75,76,A,"Glucosuria, natriuresis and mild ketosis reduce cardiac/renal stress beyond glucose lowering","Among the strongest HUMAN hard-outcome evidence in the field: large RCTs cut cardiovascular death, all-cause mortality and kidney-disease progression, including in non-diabetics. But trials enrolled people with established disease, not healthy aging.","All-cause mortality HR 0.68 (95% CI 0.57-0.82) empagliflozin in T2D+CVD (EMPA-REG, n=7,020); HR 0.69 (95% CI 0.53-0.88) dapagliflozin in CKD (DAPA-CKD, n=4,304)","Multiple positive hard-outcome RCTs, some incl. non-diabetics","Genital/urinary infections, volume depletion, rare euglycemic DKA; no amputation signal",Empagliflozin 10-25 mg/d; dapagliflozin 10 mg/d,FDA-approved (diabetes/HF/CKD),rx,Mortality benefit shown only in diseased populations; untested for lifespan extension in healthy people,Deregulated nutrient sensing; Chronic inflammation; Mitochondrial dysfunction,"EMPA-REG, NEJM 2015 — All-cause mortality HR 0.68; CV death HR 0.62 in diabetics with CVD [https://doi.org/10.1056/NEJMoa1504720] | DAPA-CKD, NEJM 2020 — All-cause mortality HR 0.69 in CKD +/- diabetes [https://doi.org/10.1056/NEJMoa2024816]",https://doi.org/10.1056/NEJMoa1504720 | https://doi.org/10.1056/NEJMoa2024816
8,omega-3-epa-dha,Omega-3 Fatty Acids (EPA/DHA),supplement,Essential fatty acids,human-rct-hard,80,82,48,90,76,A,Anti-inflammatory eicosanoids/resolvins; membrane and lipid effects,"Among the strongest longevity-relevant supplement evidence: in DO-HEALTH, 1 g/d slowed several epigenetic aging clocks and reduced infections/falls, and combined with vitamin D + exercise cut invasive cancer. CV outcomes are mixed (generic fish oil failed VITAL/ASCEND; Rx high-dose EPA cut MACE in REDUCE-IT).","Epigenetic-clock slowing ~3-4 mo/3yr (GrimAge2 d -0.32, 95% CI -0.59 to -0.06) in DO-HEALTH (n=777); CV benefit only with Rx EPA — MACE HR 0.75 (95% CI 0.68-0.83), REDUCE-IT 2019","Multiple large RCTs; positive on aging biomarkers, mixed on CV",Very safe; mild GI; modest AFib/bleeding signal at high dose,~1-2 g/day EPA+DHA,OTC; Rx icosapent ethyl,otc,Generic fish oil failed CV hard-outcome trials; clock benefit not yet proven to extend lifespan,Chronic inflammation; Altered intercellular communication,"DO-HEALTH, Nature Aging 2025 — 1 g/d slowed PhenoAge/GrimAge2/DunedinPACE clocks [https://www.nature.com/articles/s43587-024-00793-y] | DO-HEALTH, JAMA 2020 (n=2,157) — Omega-3 cut infections ~11% and falls ~10%; no benefit on primary bone/memory/muscle endpoints [https://pubmed.ncbi.nlm.nih.gov/33170239/] | DO-HEALTH, Frontiers in Aging 2022 — 3-way combo cut invasive cancer 61% (HR 0.39) [https://doi.org/10.3389/fragi.2022.852643]",https://www.nature.com/articles/s43587-024-00793-y | https://pubmed.ncbi.nlm.nih.gov/33170239/ | https://doi.org/10.3389/fragi.2022.852643
9,daily-steps-walking,Daily Steps / Walking,exercise,Low-intensity activity (volume),human-cohort,72,82,55,95,76,A,"Accumulated low-intensity movement improves vascular function, glucose handling and reduces sedentary time","A device-measured meta-analysis (~47,000) found mortality declines with more steps, plateauing ~6,000-8,000/day for older adults — debunking the arbitrary 10,000 target. Each +1,000 steps/day ~15% lower mortality. Observational but device-measured.","All-cause mortality HR 0.47 (95% CI 0.39-0.57), ~53% lower, highest vs lowest step quartile; optimum plateaus ~6,000-8,000/day (>=60y), ~8,000-10,000/day (<60y) — Paluch Lancet Public Health 2022",Strong device-measured cohort data; no RCT (impractical),Extremely safe,"~7,000-8,000+ steps/day (benefit begins below)",Public-health target,lifestyle,Observational; reverse causation (frail people walk less) likely inflates low-step risk,Chronic inflammation; Deregulated nutrient sensing; Mitochondrial dysfunction,"Paluch et al., Lancet PH 2022 — Mortality plateaus ~6,000-8,000 steps/day (>=60 yr) [https://doi.org/10.1016/S2468-2667(21)00302-9]",https://doi.org/10.1016/S2468-2667(21)00302-9
10,alcohol-moderation,Alcohol Moderation / Abstention,lifestyle,Reducing a modifiable toxin,human-cohort,76,82,50,92,75,A,"Ethanol/acetaldehyde are carcinogens promoting DNA damage, hepatic injury and inflammation; reducing intake lowers this burden","The 2023 Zhao/Naimi meta-analysis (107 cohorts, ~4.8M) overturned the old 'J-curve': after correcting for abstainer-bias, low-moderate drinking showed no mortality benefit, with clear harm above ~25 g/d (women)/45 g/d (men). Mendelian randomization supports monotonic harm. Consensus: no safe level for cancer.","No mortality benefit at low intake — RR 0.93 (95% CI 0.85-1.01, NS) for 1.3-24 g/d vs lifetime nondrinkers; harm >=25 g/d women (RR 1.21, 95% CI 1.08-1.36) and >=45 g/d men (RR 1.15, 95% CI 1.03-1.28) — Zhao/Naimi JAMA Netw Open 2023, n=4.8M",Bias-corrected meta-analysis + Mendelian randomization converge against the J-curve,Alcohol is a Group 1 carcinogen; harms rise with dose; dependence risk,Lowest risk is zero,Guidelines revised toward 'less is better',lifestyle,Prior 'protective' findings reflected abstainer bias; residual debate on CV-specific endpoints only,Genomic instability; Chronic inflammation; Mitochondrial dysfunction,"Zhao/Naimi, JAMA Netw Open 2023 — No mortality benefit at low/moderate intake; harm at higher [https://doi.org/10.1001/jamanetworkopen.2023.6185]",https://doi.org/10.1001/jamanetworkopen.2023.6185
